"CIP7";"Forme_long";"DCI_long";"Laboratoire";"CIP13";"CIS";"Specialite";"Presentation";"Stock";"Ventes.S.1";"Conso.usuelle";"Appro.S15";"Appro.S16";"Appro.S17";"Appro.S18";"Appro.S19";"Appro.S20";"Appro.S21";"Date";"Ventes.J.1";"Appro.S22";"Appro.S23";"Ventes.mensuelles";"DCI";"Forme";"Dosage_wrong";"Unites_wrong";"Dosage";"Unites";"Dose_mg";"Equiv_Factor";"Stock_U";"Ventes.J.1_U";"Stock_U_equiv"
3934370;"comprimé";"DICHLORHYDRATE DE PRAMIPEXOLE MONOHYDRATE";"EG LABO";"3400939343709";"63489405";"PRAMIPEXOLE EG 0,7 mg, comprimé";"plaquette(s) polyamide aluminium PVC-Aluminium de 100 comprimé(s)";0;"0";"10.4285714285714";NA;NA;NA;NA;"0";"0";"0";2020-05-04;NA;"0";"0";NA;"PRAMIPEXOLE";"Forme orale sèche";"0,7mg";100;"0,7mg";100;0.7;3.88888888888889;0;NA;0
3936587;"poudre pour solution pour perfusion";"PIPÉRACILLINE SODIQUE;TAZOBACTAM SODIQUE";"PANPHARMA";"3400939365879";"63803382";"PIPERACILLINE/TAZOBACTAM PANPHARMA 2 g/250 mg, poudre pour solution pour perfusion";"10 flacon(s) en verre";296;"3";"108";NA;NA;NA;NA;NA;NA;NA;2020-04-23;NA;NA;NA;NA;"PIPÉRACILLINE;TAZOBACTAM";"Forme injectable";"2000mg;250mg";10;"2000mg;250mg";10;2000;1;2960;NA;2960
3936587;"poudre pour solution pour perfusion";"PIPÉRACILLINE SODIQUE;TAZOBACTAM SODIQUE";"PANPHARMA";"3400939365879";"63803382";"PIPERACILLINE/TAZOBACTAM PANPHARMA 2 g/250 mg, poudre pour solution pour perfusion";"10 flacon(s) en verre";302;"107";"96";NA;NA;NA;NA;NA;NA;NA;2020-04-15;NA;NA;NA;NA;"PIPÉRACILLINE;TAZOBACTAM";"Forme injectable";"2000mg;250mg";10;"2000mg;250mg";10;2000;1;3020;NA;3020
3936647;"poudre pour solution pour perfusion";"PIPÉRACILLINE SODIQUE;TAZOBACTAM SODIQUE";"PANPHARMA";"3400939366470";"63012514";"PIPERACILLINE/TAZOBACTAM PANPHARMA 4 g/500 mg, poudre pour solution pour perfusion";"10 flacon(s) en verre";20912;"4831";"16000";NA;NA;"4955";"2554";"7767";NA;"2472";2020-04-15;NA;NA;NA;NA;"PIPÉRACILLINE;TAZOBACTAM";"Forme injectable";"4000mg;500mg";10;"4000mg;500mg";10;4000;2;209120;NA;418240
3936647;"poudre pour solution pour perfusion";"PIPÉRACILLINE SODIQUE;TAZOBACTAM SODIQUE";"PANPHARMA";"3400'939366470";"63012514";"PIPERACILLINE/TAZOBACTAM PANPHARMA 4 g/500 mg, poudre pour solution pour perfusion";"10 flacon(s) en verre";30537;"2657";"18000";NA;NA;NA;NA;NA;"7458";"10191";2020-04-23;NA;NA;NA;NA;"PIPÉRACILLINE;TAZOBACTAM";"Forme injectable";"4000mg;500mg";10;"4000mg;500mg";10;4000;2;305370;NA;610740
3939522;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400939395227";"68085562";"NICOTINELL FRUIT 2 mg SANS SUCRE, gomme à mâcher médicamenteuse";"plaquette(s) thermoformée(s) PVC PVDC aluminium de 204 gomme(s)";7502;"1195";"8002";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;"4000";NA;NA;"NICOTINE";"Gomme";"2mg";204;"2mg";204;2;1;1530408;NA;1530408
3939522;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400939395227";"68085562";"NICOTINELL FRUIT 2 mg SANS SUCRE, gomme à mâcher médicamenteuse";"plaquette(s) thermoformée(s) PVC PVDC aluminium de 204 gomme(s)";9004;"1985";"2143.25";NA;NA;NA;"0";"0";"0";"2000";2020-04-23;NA;"2000";"2000";NA;"NICOTINE";"Gomme";"2mg";204;"2mg";204;2;1;1836816;NA;1836816
3939522;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400939395227";"68085562";"NICOTINELL FRUIT 2 mg SANS SUCRE, gomme à mâcher médicamenteuse";"plaquette(s) thermoformée(s) PVC PVDC aluminium de 204 gomme(s)";9004;"1985";"2143.25";NA;NA;NA;"0";"0";"0";"2000";2020-04-15;NA;"2000";"2000";NA;"NICOTINE";"Gomme";"2mg";204;"2mg";204;2;1;1836816;NA;1836816
3939545;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400939395456";"63329735";"NICOTINELL MENTHE FRAICHEUR 2 mg SANS SUCRE, gomme à mâcher médicamenteuse";"plaquette(s) thermoformée(s) PVC-Aluminium PVDC de 204 gomme(s)";11563;"492";"4551";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;"6000";NA;NA;"NICOTINE";"Gomme";"2mg";204;"2mg";204;2;1;2358852;NA;2358852
3939545;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400939395456";"63329735";"NICOTINELL MENTHE FRAICHEUR 2 mg SANS SUCRE, gomme à mâcher médicamenteuse";"plaquette(s) thermoformée(s) PVC-Aluminium PVDC de 204 gomme(s)";1638;"4843";"4551.16666666667";NA;NA;NA;"11556";"0";"0";"2000";2020-04-23;NA;"6000";"0";NA;"NICOTINE";"Gomme";"2mg";204;"2mg";204;2;1;334152;NA;334152
3939545;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400939395456";"63329735";"NICOTINELL MENTHE FRAICHEUR 2 mg SANS SUCRE, gomme à mâcher médicamenteuse";"plaquette(s) thermoformée(s) PVC-Aluminium PVDC de 204 gomme(s)";1638;"4843";"4551.16666666667";NA;NA;NA;"11556";"0";"0";"2000";2020-04-15;NA;"6000";"0";NA;"NICOTINE";"Gomme";"2mg";204;"2mg";204;2;1;334152;NA;334152
3944196;"comprimé pelliculé";"CARBIDOPA MONOHYDRATEE;ENTACAPONE;LEVODOPA";"NOVARTIS PHARMA SAS";"3400939441962";"69044807";"STALEVO 75 mg/18,75 mg/200 mg, comprimé pelliculé";"flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 100 comprimé(s)";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"CARBIDOPA;ENTACAPONE;LEVODOPA";"Forme orale sèche";"75mg;18,75mg;200mg";100;"75mg;18,75mg;200mg";100;75;1.5;0;NA;0
3944256;"comprimé pelliculé";"CARBIDOPA MONOHYDRATE;ENTACAPONE;LEVODOPA";"NOVARTIS PHARMA SAS";"3400939442563";"68232927";"STALEVO 125 mg/31,25 mg/200 mg, comprimé pelliculé";"flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 100 comprimé(s)";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"CARBIDOPA;ENTACAPONE;LEVODOPA";"Forme orale sèche";"125mg;31,25mg;200mg";100;"125mg;31,25mg;200mg";100;125;2.5;0;NA;0
3946692;"comprimé pelliculé sécable";"LOSARTAN POTASSIQUE";"EVOLUPHARM";"3400939466927";"67675179";"LOSARTAN EVOLUGEN 50 mg, comprimé pelliculé sécable";"plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s)";1629;"108";"557";NA;NA;NA;NA;NA;NA;NA;2020-04-23;NA;NA;NA;NA;"LOSARTAN";"Forme orale sèche";"50mg";30;"50mg";30;50;1;48870;NA;48870
3946692;"comprimé pelliculé sécable";"LOSARTAN POTASSIQUE";"EVOLUPHARM";"3400939466927";"67675179";"LOSARTAN EVOLUGEN 50 mg, comprimé pelliculé sécable";"plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s)";1440;"162";"557";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"LOSARTAN";"Forme orale sèche";"50mg";30;"50mg";30;50;1;43200;NA;43200
3946692;"comprimé pelliculé sécable";"LOSARTAN POTASSIQUE";"EVOLUPHARM";"3400939466927";"67675179";"LOSARTAN EVOLUGEN 50 mg, comprimé pelliculé sécable";"plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s)";1821;"111";"557";NA;NA;NA;NA;NA;NA;NA;2020-04-15;NA;NA;NA;NA;"LOSARTAN";"Forme orale sèche";"50mg";30;"50mg";30;50;1;54630;NA;54630
3946700;"comprimé pelliculé sécable";"LOSARTAN POTASSIQUE";"EVOLUPHARM";"3400939467009";"67675179";"LOSARTAN EVOLUGEN 50 mg, comprimé pelliculé sécable";"plaquette(s) thermoformée(s) PVC PVDC aluminium de 90 comprimé(s)";0;"0";"235";NA;NA;NA;NA;NA;NA;NA;2020-04-23;NA;NA;NA;NA;"LOSARTAN";"Forme orale sèche";"50mg";90;"50mg";90;50;1;0;NA;0
3946700;"comprimé pelliculé sécable";"LOSARTAN POTASSIQUE";"EVOLUPHARM";"3400939467009";"67675179";"LOSARTAN EVOLUGEN 50 mg, comprimé pelliculé sécable";"plaquette(s) thermoformée(s) PVC PVDC aluminium de 90 comprimé(s)";0;"0";"235";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"LOSARTAN";"Forme orale sèche";"50mg";90;"50mg";90;50;1;0;NA;0
3946700;"comprimé pelliculé sécable";"LOSARTAN POTASSIQUE";"EVOLUPHARM";"3400939467009";"67675179";"LOSARTAN EVOLUGEN 50 mg, comprimé pelliculé sécable";"plaquette(s) thermoformée(s) PVC PVDC aluminium de 90 comprimé(s)";0;"0";"235";NA;NA;NA;NA;NA;NA;NA;2020-04-15;NA;NA;NA;NA;"LOSARTAN";"Forme orale sèche";"50mg";90;"50mg";90;50;1;0;NA;0
3949791;"comprimé pelliculé sécable";"LÉVOFLOXACINE HÉMIHYDRATÉE";"CRISTERS";"3400939497914";"66377564";"LEVOFLOXACINE CRISTERS 500 mg, comprimé pelliculé sécable";"plaquette(s) formée(s) à froid aluminium PVC de 5 comprimé(s)";5760;"0";"2621";NA;NA;NA;NA;NA;NA;"30000";2020-04-15;NA;NA;NA;NA;"LÉVOFLOXACINE";"Forme orale sèche";"500mg";5;"500mg";5;500;1;28800;NA;28800
3949791;"comprimé pelliculé sécable";"LEVOFLOXACINE HEMIHYDRATEE";"CRISTERS";"3400939497914";"66377564";"LEVOFLOXACINE CRISTERS 500 mg, comprimé pelliculé sécable";"plaquette(s) formée(s) à froid aluminium PVC de 5 comprimé(s)";0;"0";"2616";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"LÉVOFLOXACINE";"Forme orale sèche";"500mg";5;"500mg";5;500;1;0;NA;0
3949874;"comprimé pelliculé sécable";"LÉVOFLOXACINE HÉMIHYDRATÉE";"EG LABO";"3400939498744";"69588470";"LEVOFLOXACINE EG 500 mg, comprimé pelliculé sécable";"plaquette(s) PVC-Aluminium de 5 comprimé(s)";16048;"4911";"12616";NA;NA;NA;NA;NA;NA;NA;2020-04-15;NA;"65000";NA;NA;"LÉVOFLOXACINE";"Forme orale sèche";"500mg";5;"500mg";5;500;1;80240;NA;80240
3949874;"comprimé pelliculé sécable";"LEVOFLOXACINE HEMIHYDRATEE";"EG LABO";"3400939498744";"69588470";"LEVOFLOXACINE EG 500 mg, comprimé pelliculé sécable";"plaquette(s) PVC-Aluminium de 5 comprimé(s)";13974;"431";"4235.57142857143";NA;NA;NA;NA;"0";"0";"0";2020-05-04;NA;"0";"0";NA;"LÉVOFLOXACINE";"Forme orale sèche";"500mg";5;"500mg";5;500;1;69870;NA;69870
3950096;"comprimé pelliculé";"AZITHROMYCINE DIHYDRATEE";"CRISTERS";"3400939500966";"62514713";"AZITHROMYCINE CRISTERS 250 mg, comprimé pelliculé";"plaquette(s) thermoformée(s) PVDC PVC aluminium de 6 comprimé(s)";6535;"0";"5194";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"AZATHIOPRINE";"Forme orale sèche";"250mg";6;"250mg";6;250;1;39210;NA;39210
3953427;"solution injectable";"CHLORHYDRATE DE MORPHINE";"LABORATOIRE RENAUDIN";"3400939534275";"60339717";"MORPHINE (CHLORHYDRATE) RENAUDIN 1 mg/ml, solution injectable";"10 ampoule(s) en verre de 10 ml";4401;"19";"1330";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"MORPHINE";"Forme injectable";"1mg";10;"1mg/mL;10mL";10;10;20;44010;NA;880200
3953462;"gélule à libération prolongée";"TACROLIMUS MONOHYDRATÉ";"ASTELLAS PHARMA";"3400939534626";"61604257";"ADVAGRAF 3 mg, gélule à libération prolongée";"30 plaquette(s) thermoformée(s) PVC PVDC aluminium suremballée(s)/surpochée(s) de 1 gélule(s)";32043;"1680";"10620";NA;NA;NA;"27436";NA;NA;NA;2020-04-23;NA;NA;NA;NA;"TACROLIMUS";"Forme orale sèche";"3mg";30;"3mg";30;3;6;961290;NA;5767740
3953479;"comprimé dispersible sécable";"AZITHROMYCINE DIHYDRATEE";"TONIPHARM";"3400939534794";"69627877";"ORDIPHA 500 mg, comprimé dispersible sécable";"plaquette(s) thermoformée(s) PVC PVDC aluminium de 3 comprimé(s)";725011;"1639";"33250";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"AZATHIOPRINE";"Forme buvable";"500mg";3;"500mg";3;500;12.5;2175033;NA;27187912.5
3953605;"comprimé";"PRAMIPEXOLE (DICHLORHYDRATE DE) MONOHYDRATE";"TEVA SANTE";"3400939536057";"63005092";"PRAMIPEXOLE TEVA 0,18 mg, comprimé";"plaquette(s) thermoformée(s) aluminium de 30 comprimé(s)";0;"48";"1727.66666666667";NA;NA;NA;NA;"0";"0";"0";2020-05-04;NA;"0";"9000";NA;"PRAMIPEXOLE";"Forme orale sèche";"0,18mg";30;"0,18mg";30;0.18;1;0;NA;0
3953663;"comprimé";"PRAMIPEXOLE (DICHLORHYDRATE DE) MONOHYDRATE";"TEVA SANTE";"3400939536637";"69716450";"PRAMIPEXOLE TEVA 0,7 mg comprimé";"plaquette(s) thermoformée(s) aluminium de 30 comprimé(s)";1245;"54";"173.5";NA;NA;NA;NA;"0";"0";"0";2020-05-04;NA;"0";"0";NA;"PRAMIPEXOLE";"Forme orale sèche";"0,7mg";30;"0,7mg";30;0.7;3.88888888888889;37350;NA;145250
3958028;"comprimé pelliculé sécable";"LÉVOFLOXACINE HÉMIHYDRATÉE";"RANBAXY PHARMACIE GENERIQUES";"3400939580289";"68463581";"LEVOFLOXACINE RANBAXY 500 mg, comprimé pelliculé sécable";"plaquette(s) formée(s) à froid aluminium PVC de 5 comprimé(s)";12072;"219";"1187";NA;NA;NA;NA;NA;NA;NA;2020-04-15;NA;NA;NA;NA;"LÉVOFLOXACINE";"Forme orale sèche";"500mg";5;"500mg";5;500;1;60360;NA;60360
3958028;"comprimé pelliculé sécable";"LEVOFLOXACINE HEMIHYDRATEE";"RANBAXY PHARMACIE GENERIQUES";"3400939580289";"68463581";"LEVOFLOXACINE RANBAXY 500 mg, comprimé pelliculé sécable";"plaquette(s) formée(s) à froid aluminium PVC de 5 comprimé(s)";11580;"96";"1180";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"LÉVOFLOXACINE";"Forme orale sèche";"500mg";5;"500mg";5;500;1;57900;NA;57900
3958229;"comprimé pelliculé sécable";"LÉVOFLOXACINE HÉMIHYDRATÉE";"EVOLUPHARM";"3400939582290";"67647226";"LEVOFLOXACINE EVOLUGEN 500 mg, comprimé pelliculé sécable";"plaquette(s) formée(s) à froid aluminium PVC de 5 comprimé(s)";0;"0";"1282";NA;NA;NA;"8000";NA;NA;NA;2020-04-15;NA;NA;NA;NA;"LÉVOFLOXACINE";"Forme orale sèche";"500mg";5;"500mg";5;500;1;0;NA;0
3958229;"comprimé pelliculé sécable";"LEVOFLOXACINE HEMIHYDRATEE";"EVOLUPHARM";"3400939582290";"67647226";"LEVOFLOXACINE EVOLUGEN 500 mg, comprimé pelliculé sécable";"plaquette(s) formée(s) à froid aluminium PVC de 5 comprimé(s)";0;"0";"128";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"LÉVOFLOXACINE";"Forme orale sèche";"500mg";5;"500mg";5;500;1;0;NA;0
3958413;"comprimé pelliculé sécable";"LÉVOFLOXACINE HÉMIHYDRATÉE";"BIOGARAN";"3400939584133";"61684812";"LEVOFLOXACINE BIOGARAN 500 mg, comprimé pelliculé sécable";"plaquette(s) aluminium PVC de 5 comprimé(s)";28153;"7228";"34639";NA;NA;NA;NA;NA;NA;NA;2020-04-15;NA;NA;NA;NA;"LÉVOFLOXACINE";"Forme orale sèche";"500mg";5;"500mg";5;500;1;140765;NA;140765
3958413;"comprimé pelliculé sécable";"LEVOFLOXACINE HEMIHYDRATEE";"BIOGARAN";"3400939584133";"61684812";"LEVOFLOXACINE BIOGARAN 500 mg, comprimé pelliculé sécable";"plaquette(s) aluminium PVC de 5 comprimé(s)";23553;"799";"37052";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"LÉVOFLOXACINE";"Forme orale sèche";"500mg";5;"500mg";5;500;1;117765;NA;117765
3959482;"granulés pour suspension buvable";"TACROLIMUS MONOHYDRATÉ";"ASTELLAS PHARMA";"3400939594828";"61092077";"MODIGRAF 0,2 mg, granulés pour suspension buvable";"50 sachet(s)-dose(s) aluminium polytéréphtalate (PET) polyéthylène";6277;"212";"1736";NA;NA;NA;NA;NA;NA;NA;2020-04-23;NA;NA;NA;NA;"TACROLIMUS";"Forme buvable";"0,2mg";50;"0,2mg";50;0.2;1;313850;NA;313850
3959499;"granulés pour suspension buvable";"TACROLIMUS MONOHYDRATÉ";"ASTELLAS PHARMA";"3400939594996";"69208135";"MODIGRAF 1 mg, granulés pour suspension buvable";"50 sachet(s)-dose(s) aluminium polytéréphtalate (PET) polyéthylène";2546;"122";"828";NA;NA;NA;NA;NA;NA;NA;2020-04-23;NA;"2100";NA;NA;"TACROLIMUS";"Forme buvable";"1mg";50;"1mg";50;1;5;127300;NA;636500
3959513;"comprimé pelliculé";"ETHANOLATE DE DARUNAVIR";"JANSSEN CILAG";"3400939595139";"67128815";"PREZISTA 75 mg, comprimé pelliculé";"flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 480 comprimé(s)";16;"1";"2";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"DARUNAVIR";"Forme orale sèche";"75mg";480;"75mg";480;75;1;7680;NA;7680
3959536;"comprimé pelliculé";"ETHANOLATE DE DARUNAVIR";"JANSSEN CILAG";"3400939595368";"63216342";"PREZISTA 150 mg, comprimé pelliculé";"flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 240 comprimé(s)";36;"1";"10";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"DARUNAVIR";"Forme orale sèche";"150mg";240;"150mg";240;150;2;8640;NA;17280
3962142;"comprimé pelliculé";"LOSARTAN POTASSIQUE";"KRKA FRANCE";"3400939621425";"69337265";"LOSARTAN KRKA 100 mg, comprimé pelliculé";"plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s)";336;"21";"239.25";NA;NA;NA;NA;NA;NA;NA;2020-04-23;NA;NA;NA;NA;"LOSARTAN";"Forme orale sèche";"100mg";30;"100mg";30;100;2;10080;NA;20160
3962142;"comprimé pelliculé";"LOSARTAN POTASSIQUE";"KRKA FRANCE";"3400939621425";"69337265";"LOSARTAN KRKA 100 mg, comprimé pelliculé";"plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s)";237;"38";"239.25";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"LOSARTAN";"Forme orale sèche";"100mg";30;"100mg";30;100;2;7110;NA;14220
3962142;"comprimé pelliculé";"LOSARTAN POTASSIQUE";"KRKA DD";"3400939621425";"69337265";"LOSARTAN KRKA 100 mg, comprimé pelliculé";"plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s)";337;"29";"239.25";NA;NA;NA;NA;NA;NA;NA;2020-04-15;NA;NA;NA;NA;"LOSARTAN";"Forme orale sèche";"91,6mg";30;"100mg";30;100;2;10110;NA;20220
3964508;"comprimé pelliculé";"LOSARTAN POTASSIQUE";"ZENTIVA FRANCE";"3400939645087";"60130906";"LOSARTAN ZENTIVA 50 mg, comprimé pelliculé";"plaquette(s) PVC polyéthylène PVDC aluminium de 28 comprimé(s)";150;"156";"4770";NA;NA;NA;"0";"35040";"0";"0";2020-04-23;NA;"0";"0";NA;"LOSARTAN";"Forme orale sèche";"50mg";28;"50mg";28;50;1;4200;NA;4200
3964508;"comprimé pelliculé";"LOSARTAN POTASSIQUE";"ZENTIVA FRANCE";"3400939645087";"60130906";"LOSARTAN ZENTIVA 50 mg, comprimé pelliculé";"plaquette(s) PVC polyéthylène PVDC aluminium de 28 comprimé(s)";150;"156";"4770";NA;NA;NA;"0";"35040";"0";"0";2020-05-04;NA;"0";"0";NA;"LOSARTAN";"Forme orale sèche";"50mg";28;"50mg";28;50;1;4200;NA;4200
3964508;"comprimé pelliculé";"LOSARTAN POTASSIQUE";"ZENTIVA FRANCE";"3400939645087";"60130906";"LOSARTAN ZENTIVA 50 mg, comprimé pelliculé";"plaquette(s) PVC polyéthylène PVDC aluminium de 28 comprimé(s)";157;"268";"4770";NA;NA;"35040";"0";"0";"0";"0";2020-04-15;NA;"0";NA;NA;"LOSARTAN";"Forme orale sèche";"50mg";28;"50mg";28;50;1;4396;NA;4396
3964566;"comprimé pelliculé";"LOSARTAN POTASSIQUE";"ZENTIVA FRANCE";"3400939645667";"60130906";"LOSARTAN ZENTIVA 50 mg, comprimé pelliculé";"plaquette(s) PVC polyéthylène PVDC aluminium de 90 comprimé(s)";17895;"697";"1842";NA;NA;NA;"0";"0";"0";"0";2020-04-23;NA;"0";"0";NA;"LOSARTAN";"Forme orale sèche";"50mg";90;"50mg";90;50;1;1610550;NA;1610550
3964566;"comprimé pelliculé";"LOSARTAN POTASSIQUE";"ZENTIVA FRANCE";"3400939645667";"60130906";"LOSARTAN ZENTIVA 50 mg, comprimé pelliculé";"plaquette(s) PVC polyéthylène PVDC aluminium de 90 comprimé(s)";17895;"697";"1842";NA;NA;NA;"0";"0";"0";"0";2020-05-04;NA;"0";"0";NA;"LOSARTAN";"Forme orale sèche";"50mg";90;"50mg";90;50;1;1610550;NA;1610550
3964566;"comprimé pelliculé";"LOSARTAN POTASSIQUE";"ZENTIVA FRANCE";"3400939645667";"60130906";"LOSARTAN ZENTIVA 50 mg, comprimé pelliculé";"plaquette(s) PVC polyéthylène PVDC aluminium de 90 comprimé(s)";18699;"974";"1842";NA;NA;"0";"0";"0";"0";"0";2020-04-15;NA;"0";NA;NA;"LOSARTAN";"Forme orale sèche";"50mg";90;"50mg";90;50;1;1682910;NA;1682910
3964649;"comprimé pelliculé";"LOSARTAN POTASSIQUE";"ZENTIVA FRANCE";"3400939646497";"69560065";"LOSARTAN ZENTIVA 100 mg, comprimé pelliculé";"plaquette(s) PVC polyéthylène PVDC aluminium de 28 comprimé(s)";42479;"23338";"2954.5";NA;NA;NA;"0";"0";"0";"0";2020-04-23;NA;"0";"0";NA;"LOSARTAN";"Forme orale sèche";"100mg";28;"100mg";28;100;2;1189412;NA;2378824
3964649;"comprimé pelliculé";"LOSARTAN POTASSIQUE";"ZENTIVA FRANCE";"3400939646497";"69560065";"LOSARTAN ZENTIVA 100 mg, comprimé pelliculé";"plaquette(s) PVC polyéthylène PVDC aluminium de 28 comprimé(s)";42479;"23338";"2954.5";NA;NA;NA;"0";"0";"0";"0";2020-05-04;NA;"0";"0";NA;"LOSARTAN";"Forme orale sèche";"100mg";28;"100mg";28;100;2;1189412;NA;2378824
3964649;"comprimé pelliculé";"LOSARTAN POTASSIQUE";"ZENTIVA FRANCE";"3400939646497";"69560065";"LOSARTAN ZENTIVA 100 mg, comprimé pelliculé";"plaquette(s) PVC polyéthylène PVDC aluminium de 28 comprimé(s)";48006;"317";"2954.5";NA;NA;"0";"0";"0";"0";"0";2020-04-15;NA;"0";NA;NA;"LOSARTAN";"Forme orale sèche";"100mg";28;"100mg";28;100;2;1344168;NA;2688336
3964690;"comprimé pelliculé";"LOSARTAN POTASSIQUE";"ZENTIVA FRANCE";"3400939646909";"69560065";"LOSARTAN ZENTIVA 100 mg, comprimé pelliculé";"plaquette(s) PVC polyéthylène PVDC aluminium de 90 comprimé(s)";1020;"259";"1460";NA;NA;NA;"0";"9575";"0";"0";2020-04-23;NA;"0";"0";NA;"LOSARTAN";"Forme orale sèche";"100mg";90;"100mg";90;100;2;91800;NA;183600
3964690;"comprimé pelliculé";"LOSARTAN POTASSIQUE";"ZENTIVA FRANCE";"3400939646909";"69560065";"LOSARTAN ZENTIVA 100 mg, comprimé pelliculé";"plaquette(s) PVC polyéthylène PVDC aluminium de 90 comprimé(s)";1020;"259";"1460";NA;NA;NA;"0";"9575";"0";"0";2020-05-04;NA;"0";"0";NA;"LOSARTAN";"Forme orale sèche";"100mg";90;"100mg";90;100;2;91800;NA;183600
3964690;"comprimé pelliculé";"LOSARTAN POTASSIQUE";"ZENTIVA FRANCE";"3400939646909";"69560065";"LOSARTAN ZENTIVA 100 mg, comprimé pelliculé";"plaquette(s) PVC polyéthylène PVDC aluminium de 90 comprimé(s)";1406;"509";"1460";NA;NA;"9575";"0";"0";"0";"0";2020-04-15;NA;"0";NA;NA;"LOSARTAN";"Forme orale sèche";"100mg";90;"100mg";90;100;2;126540;NA;253080
3965034;"dispositif";"NICOTINE";"JOHNSON & JOHNSON SANTE BEAUTE FRANCE";"3400939650340";"62591460";"NICORETTESKIN 10 mg/16 heures, dispositif transdermique";"7 sachet(s) polyester polyuréthane aluminium copolymère polyacrylonitrile de 1 dispositif(s)";3021;"74";"182";NA;NA;NA;NA;"0";"0";"0";2020-05-04;NA;"0";"0";NA;"NICOTINE";"Transdermique";"10mg";7;"10mg";7;10;1.42857142857143;21147;NA;30210
3965034;"dispositif";"NICOTINE";"JOHNSON & JOHNSON SANTE BEAUTE FRANCE";"3400939650340";"62591460";"NICORETTESKIN 10 mg/16 heures, dispositif transdermique";"7 sachet(s) polyester polyuréthane aluminium copolymère polyacrylonitrile de 1 dispositif(s)";15530;"20";"182";NA;NA;NA;"0";"0";"0";"6000";2020-04-23;NA;"0";"3500";NA;"NICOTINE";"Transdermique";"10mg";7;"10mg";7;10;1.42857142857143;108710;NA;155300
3965034;"dispositif";"NICOTINE";"JOHNSON & JOHNSON SANTE BEAUTE FRANCE";"3400939650340";"62591460";"NICORETTESKIN 10 mg/16 heures, dispositif transdermique";"7 sachet(s) polyester polyuréthane aluminium copolymère polyacrylonitrile de 1 dispositif(s)";15545;"41.6835855200153";"372.928571428571";NA;NA;"0";"0";"0";"6000";"0";2020-04-15;NA;"3500";NA;NA;"NICOTINE";"Transdermique";"15,75mg";7;"10mg";7;10;1.42857142857143;108815;NA;155450
